TITLE,COMPANY,Salary,Race,Gender,YEARS_EXPERIENCE,Location_clean,JOB_DUTIES
[tech] editor,NONE SPECIFIED,80000,white,female,12,San Francisco,"write 2-3 articles a week, produce/write a weekly newsletter, on-stage events/interviews"
Account Manager,NONE SPECIFIED,70000,african,female,3,Los Angeles,"Manage Social Media Advertising for Conde Nast Consumer Marketing, Reporting,"
Afternoon Editor,NONE SPECIFIED,73000,white,female,4,"Washington, DC",lead producer
Animator,NONE SPECIFIED,80000,asian,female,5,New York,Graphics for digital
Art Director,NONE SPECIFIED,90000,white,female,6,New York,Manage editorial and branded art/design/video projects
Art Director,SF Weekly,60000,white,male,10,San Francisco,
Assignment Editor,NBC_News,60000,white,female,2,New York,Coordinate coverage for breaking stories
Assignment Editor,Gannett/NorthJersey.com,65000,white,male,15,New York City Suburbs,Managed about 10 reporters covering enterprise beats at two Gannett papers in two states. Responsible for training new journalists and covering the breaking news team in the afternoons and managed large breaking news events.
Assignment Editor,NONE SPECIFIED,81000,african,female,13,"Washington, DC","disseminate editorial information, gather editorial information, liveshot producer"
Assistant Art Director,NONE SPECIFIED,72500,noanswer,female,3,"Washington, DC","art direction, page design, pre-press production, photo selection, pretty much everything."
assistant audience editor,NONE SPECIFIED,75000,poc,male,1.5,New York,"edit, report, manage social channels, manage projects"
Assistant digital editor,AMI,35000,white,na,1,Chicago,"Social media, pitching and editing digital stories, also pitching long-form features for monthly print magazine"
Assistant Edior,Great Bowery,40000,mixed,female,6,New York,assist two executives with their editorial tasks
Assistant editor,The Atlantic,55000,poc,female,4,"Washington, DC",
Assistant editor,VoxMedia,48000,white,female,7,New York,"write multiple stories a week for the website, edit multiple web freelance stories a week, manage a section of the print magazine (pitch, assign, and edit pieces, coordinate with art, etc.), write for each section of the print magazine, contribute to a weekly podcast, appear on 3rd party media as needed"
Assistant Editor,NBC Sports Bay Area,39000,white,female,3,New York,
Assistant Editor,CBS Interactive,45000,poc,male,2,New York,"research, fact-checking, editing"
Assistant Editor,CBS Interactive,42000,asian,female,5,New York,Acquire and edit books; support two senior-level editors
Assistant Editor,Rolling Stone,60500,latina,female,8,New York,Editing daily news and features. Writing no less than 20 articles a month. Interviewing in English and Spanish. Translating. Transcribing.
Assistant Editor,WashingtonPost,48000,white,female,4,New York,"Assign/edit/write stories for online, assign/edit/write stories for the quarterly print magazine, contribute to a weekly podcast"
Assistant Editor,ProPublica,50000,white,female,"2 years FT, 2 years freelance (in college)",New York,"Writing, editing, and building articles in CMS. Writing, editing and building newsletters. Assisting senior editor with workflow. Planning photoshoots. Planning events. Occasional social media (IG story event coverage, posting articles on FB/Twitter)"
Assistant Editor,Wirecutter,41000,white,male,3,New York,"writing, editing, newsletter production, managing invoices"
Assistant Editor,Gimlet / Spotify,43000,white,female,6,New York,
Assistant editor,Digital_First_Media,55000,white,female,3,"Washington, DC",
Assistant editor,Atlanta Journal-Constitution,48000,poc,female,1,"Washington, DC","fact-checking, copy editing, project management"
Assistant editor,NONE SPECIFIED,92500,white,male,5,"Washington, DC",Commissioning and editing articles
"Assistant editor, audience",NONE SPECIFIED,75000,poc,male,1.5,New York,"Edit, right, manage social channels and platforms"
Assistant Editorial Producer,Multiple (freelancer),45000,white,female,5 years FT,New York,"producing and editing a weekly podcast. writing, editing, building articles in the CMS. sending daily newsletters. assisting with vairous editorial tasks (calling in products to shoot, event planning, pitching ideas, etc.)"
Assistant Fashion Editor,Hearst-Cosmopolitan,58500,poc,female,3,New York,"SEO posts, writing print pages, market research, photo research, writing news stories, reporting, writing headlines and deks, editing"
Assistant Managing Editor,NONE SPECIFIED,86000,latina,female,6,New York,"Manage fellowship program, oversee newsroom trainings, recruit and hire, maintain newsroom policies, manage distribution team"
Assistant Managing Editor,NONE SPECIFIED,105000,noanswer,noanswer,15,New York,
Assistant Managing Editor,The San Francisco Chronicle,45000,white,female,5,New York,assist managing editor and oversee production processes from manuscript acquisition to finished book
Assistant Managing Editor,NewYorkTimes,53300,white,female,5,New York,"Interdepartmental liaison, oversee schedules and deadlines, manage metadata, proofread files, supervise freelancers, etc."
Assistant Marketing Manager,PenguinRandomHouse,60000,white,female,5,New York,
Assistant Producer,NONE SPECIFIED,70000,white,female,1,"Washington, DC","Strategy for emerging news experiences - includes expertise in tech and media, audio production, journalism and tech ethics, etc."
assistant producer,WNYC,56000,white,male,3,New York,produce weekly podcast / radio program
Assistant Producer,NONE SPECIFIED,70000,white,male,3,"Washington, DC",Manage social media accounts for a vertical; audience engagement work; produce digital stories for web; write for newsletter; occasionally write/report web stories
Assistant Snapchat Editor,Cosmopolitan,58500,white,female,3,New York,"Curate and publish the Cosmo Stories snapchat edition, plan the editorial content for our daily Cosmopolitan Snapchat Discover edition, pitch and write for the print magazine's YOU section, edit video posts for the site, co-manage the editorial fellow, write up weekly and monthly reports for snapchat, act as a snapchat liason between the Cosmo US team and the Cosmo UK team, pitch and write stories for Cosmo's Snapchat channels, strategize editorial direction for snapchat channels, assist the Snapchat Editor for miscellaneous duties"
Assistant Video Editor,NewYorkTimes,57980,hispanic,female,4,New York,"Video editing, publishing, producing, field producing, writing, associate producing etc."
Assoc. editor,NONE SPECIFIED,82000,white,male,9,New York,"Editing, commissioning, producing"
Associate Art Director,NONE SPECIFIED,76200,latina,female,6,Los Angeles,"Manage a small design team, create graphic, illustration, and motion designs for various Editorial and Branded projects."
Associate digital editor,NewYorkPost,64000,white,female,5,New York,edit and publish syndicate stories to site
Associate Digital Editor,Meredith,58500,white,female,3,New York,writing 2-3 news/evergreen stories per day
